Label %,Method,Accuracy,F1,Precision,Recall,Confusion Matrix,Per-Class Accuracy
100%,From Scratch,76.6%,0.721,0.821,0.766,"[[ 23  41  29   7]
 [  0 112   0   3]
 [  0   0 105   0]
 [  0   6   6  62]]","[np.float64(23.0), np.float64(97.3913043478261), np.float64(100.0), np.float64(83.78378378378379)]"
100%,ImageNet,79.9%,0.768,0.854,0.799,"[[ 31  47  22   0]
 [  0 115   0   0]
 [  0   0 105   0]
 [  0   4   6  64]]","[np.float64(31.0), np.float64(100.0), np.float64(100.0), np.float64(86.48648648648648)]"
100%,SimCLR v1,76.4%,0.725,0.819,0.764,"[[ 26  32  35   7]
 [  0 112   0   3]
 [  0   0 105   0]
 [  0   3  13  58]]","[np.float64(26.0), np.float64(97.3913043478261), np.float64(100.0), np.float64(78.37837837837837)]"
100%,SimCLR v2,76.6%,0.733,0.818,0.766,"[[ 30  38  24   8]
 [  0 112   1   2]
 [  0   0 105   0]
 [  0   5  14  55]]","[np.float64(30.0), np.float64(97.3913043478261), np.float64(100.0), np.float64(74.32432432432432)]"
75%,From Scratch,71.8%,0.674,0.786,0.718,"[[ 22  36  31  11]
 [  0 107   7   1]
 [  0   1 104   0]
 [  0   7  17  50]]","[np.float64(22.0), np.float64(93.04347826086956), np.float64(99.04761904761905), np.float64(67.56756756756756)]"
75%,ImageNet,80.5%,0.784,0.848,0.805,"[[ 38  47  14   1]
 [  1 111   2   1]
 [  0   1 104   0]
 [  0   4   6  64]]","[np.float64(38.0), np.float64(96.52173913043478), np.float64(99.04761904761905), np.float64(86.48648648648648)]"
75%,SimCLR v1,71.8%,0.682,0.791,0.718,"[[ 24  27  38  11]
 [  0 100  13   2]
 [  0   0 105   0]
 [  0   3  17  54]]","[np.float64(24.0), np.float64(86.95652173913044), np.float64(100.0), np.float64(72.97297297297297)]"
75%,SimCLR v2,71.3%,0.669,0.794,0.713,"[[ 19  21  47  13]
 [  0 102  11   2]
 [  0   0 105   0]
 [  0   3  16  55]]","[np.float64(19.0), np.float64(88.69565217391305), np.float64(100.0), np.float64(74.32432432432432)]"
50%,From Scratch,66.2%,0.623,0.724,0.662,"[[ 21  36  36   7]
 [  0  97  17   1]
 [  1   2 100   2]
 [  2  11  18  43]]","[np.float64(21.0), np.float64(84.34782608695653), np.float64(95.23809523809523), np.float64(58.108108108108105)]"
50%,ImageNet,77.2%,0.737,0.822,0.772,"[[ 27  30  42   1]
 [  0 109   3   3]
 [  1   2 102   0]
 [  0   1   7  66]]","[np.float64(27.0), np.float64(94.78260869565217), np.float64(97.14285714285714), np.float64(89.1891891891892)]"
50%,SimCLR v1,68.3%,0.640,0.761,0.683,"[[ 20  26  38  16]
 [  0  95  15   5]
 [  0   1 104   0]
 [  0   6  18  50]]","[np.float64(20.0), np.float64(82.6086956521739), np.float64(99.04761904761905), np.float64(67.56756756756756)]"
50%,SimCLR v2,71.1%,0.669,0.776,0.711,"[[ 22  39  29  10]
 [  0  99  12   4]
 [  0   1 102   2]
 [  0   9   8  57]]","[np.float64(22.0), np.float64(86.08695652173914), np.float64(97.14285714285714), np.float64(77.02702702702703)]"
25%,From Scratch,58.1%,0.548,0.695,0.581,"[[20 27 45  8]
 [ 0 77 34  4]
 [ 0  6 99  0]
 [ 1  9 31 33]]","[np.float64(20.0), np.float64(66.95652173913044), np.float64(94.28571428571428), np.float64(44.5945945945946)]"
25%,ImageNet,72.1%,0.704,0.783,0.721,"[[ 37  41  21   1]
 [  0 103  12   0]
 [  3   6  96   0]
 [  0  10  16  48]]","[np.float64(37.0), np.float64(89.56521739130436), np.float64(91.42857142857143), np.float64(64.86486486486487)]"
25%,SimCLR v1,65.0%,0.611,0.681,0.650,"[[19 43 25 13]
 [ 0 94 13  8]
 [ 4 10 86  5]
 [ 1  9  7 57]]","[np.float64(19.0), np.float64(81.73913043478261), np.float64(81.9047619047619), np.float64(77.02702702702703)]"
25%,SimCLR v2,61.9%,0.586,0.690,0.619,"[[22 46 24  8]
 [ 0 90 22  3]
 [ 2 10 93  0]
 [ 1 12 22 39]]","[np.float64(22.0), np.float64(78.26086956521739), np.float64(88.57142857142857), np.float64(52.702702702702695)]"
10%,From Scratch,46.7%,0.436,0.590,0.467,"[[13 54 32  1]
 [ 2 76 35  2]
 [ 2 33 69  1]
 [ 0 15 33 26]]","[np.float64(13.0), np.float64(66.08695652173913), np.float64(65.71428571428571), np.float64(35.13513513513514)]"
10%,ImageNet,55.6%,0.534,0.605,0.556,"[[23 25 39 13]
 [ 2 72 26 15]
 [ 4 15 80  6]
 [ 0 18 12 44]]","[np.float64(23.0), np.float64(62.60869565217392), np.float64(76.19047619047619), np.float64(59.45945945945946)]"
10%,SimCLR v1,51.3%,0.489,0.593,0.513,"[[17 27 46 10]
 [ 2 59 46  8]
 [ 2 22 76  5]
 [ 0  7 17 50]]","[np.float64(17.0), np.float64(51.30434782608696), np.float64(72.38095238095238), np.float64(67.56756756756756)]"
10%,SimCLR v2,50.5%,0.467,0.527,0.505,"[[10 42 37 11]
 [ 3 80 26  6]
 [ 2 35 63  5]
 [ 3 12 13 46]]","[np.float64(10.0), np.float64(69.56521739130434), np.float64(60.0), np.float64(62.16216216216216)]"
5%,From Scratch,38.6%,0.373,0.379,0.386,"[[19 46 21 14]
 [ 5 67 32 11]
 [33 40 28  4]
 [ 3 15 18 38]]","[np.float64(19.0), np.float64(58.26086956521739), np.float64(26.666666666666668), np.float64(51.35135135135135)]"
5%,ImageNet,52.5%,0.501,0.588,0.525,"[[20 28 51  1]
 [ 5 67 41  2]
 [ 5  9 86  5]
 [ 0 34  6 34]]","[np.float64(20.0), np.float64(58.26086956521739), np.float64(81.9047619047619), np.float64(45.94594594594595)]"
5%,SimCLR v1,43.7%,0.411,0.464,0.437,"[[13 48 36  3]
 [ 1 75 36  3]
 [14 29 59  3]
 [ 7 12 30 25]]","[np.float64(13.0), np.float64(65.21739130434783), np.float64(56.19047619047619), np.float64(33.78378378378378)]"
5%,SimCLR v2,42.4%,0.364,0.403,0.424,"[[26 50  2 22]
 [ 5 91  2 17]
 [37 46  6 16]
 [ 4 20  6 44]]","[np.float64(26.0), np.float64(79.13043478260869), np.float64(5.714285714285714), np.float64(59.45945945945946)]"
1%,From Scratch,28.9%,0.136,0.151,0.289,"[[  0  99   1   0]
 [  0 113   2   0]
 [  0 104   1   0]
 [  0  74   0   0]]","[np.float64(0.0), np.float64(98.26086956521739), np.float64(0.9523809523809524), np.float64(0.0)]"
1%,ImageNet,31.5%,0.269,0.416,0.315,"[[20 64  2 14]
 [27 50  0 38]
 [ 5 71  4 25]
 [ 2 22  0 50]]","[np.float64(20.0), np.float64(43.47826086956522), np.float64(3.8095238095238098), np.float64(67.56756756756756)]"
1%,SimCLR v1,35.0%,0.263,0.275,0.350,"[[ 24  73   0   3]
 [  7 101   0   7]
 [ 37  67   0   1]
 [ 22  39   0  13]]","[np.float64(24.0), np.float64(87.82608695652175), np.float64(0.0), np.float64(17.56756756756757)]"
1%,SimCLR v2,27.4%,0.163,0.154,0.274,"[[ 0 90 10  0]
 [ 0 96 19  0]
 [ 0 93 12  0]
 [ 0 72  2  0]]","[np.float64(0.0), np.float64(83.47826086956522), np.float64(11.428571428571429), np.float64(0.0)]"
