Label %,Method,Accuracy,F1,Precision,Recall,Mean AUC
100%,From Scratch,68.78%,0.641,0.758,0.688,0.939
100%,ImageNet,76.40%,0.728,0.827,0.764,0.960
100%,SimCLR v1,73.86%,0.686,0.809,0.739,0.943
100%,SimCLR v2,73.10%,0.681,0.808,0.731,0.939
75%,From Scratch,67.51%,0.634,0.772,0.675,0.920
75%,ImageNet,76.14%,0.728,0.821,0.761,0.946
75%,SimCLR v1,68.02%,0.634,0.740,0.680,0.924
75%,SimCLR v2,67.01%,0.624,0.765,0.670,0.926
50%,From Scratch,60.15%,0.559,0.666,0.602,0.875
50%,ImageNet,70.56%,0.670,0.792,0.706,0.931
50%,SimCLR v1,60.91%,0.555,0.692,0.609,0.874
50%,SimCLR v2,55.58%,0.510,0.637,0.556,0.828
25%,From Scratch,56.60%,0.530,0.639,0.566,0.797
25%,ImageNet,68.02%,0.648,0.756,0.680,0.893
25%,SimCLR v1,56.60%,0.532,0.618,0.566,0.797
25%,SimCLR v2,53.30%,0.499,0.623,0.533,0.785
10%,From Scratch,42.13%,0.407,0.433,0.421,0.674
10%,ImageNet,50.25%,0.485,0.560,0.503,0.781
10%,SimCLR v1,39.85%,0.374,0.417,0.398,0.678
10%,SimCLR v2,40.10%,0.375,0.422,0.401,0.678
5%,From Scratch,35.03%,0.346,0.358,0.350,0.635
5%,ImageNet,55.58%,0.549,0.579,0.556,0.781
5%,SimCLR v1,33.50%,0.328,0.345,0.335,0.608
5%,SimCLR v2,35.03%,0.344,0.351,0.350,0.634
1%,From Scratch,20.05%,0.166,0.175,0.201,0.573
1%,ImageNet,31.98%,0.317,0.455,0.320,0.600
1%,SimCLR v1,25.89%,0.204,0.295,0.259,0.556
1%,SimCLR v2,26.65%,0.221,0.275,0.266,0.522
